2019/08/11,1,12173,26386
2019/08/11,2,11734,26364
2019/08/11,3,11460,26489
2019/08/11,4,11321,26553
2019/08/11,5,11280,26600
2019/08/11,6,11348,26675
2019/08/11,7,11728,26417
2019/08/11,8,12407,26501
2019/08/11,9,13034,26561
2019/08/11,10,13759,26416
2019/08/11,11,14323,26460
2019/08/11,12,14821,26450
2019/08/11,13,15205,26439
2019/08/11,14,15697,26559
2019/08/11,15,16229,26681
2019/08/11,16,16784,26733
2019/08/11,17,17534,26651
2019/08/11,18,17975,26765
2019/08/11,19,18012,26596
2019/08/11,20,17973,26378
2019/08/11,21,17650,26319
2019/08/11,22,16590,26361
2019/08/11,23,15362,26382
2019/08/11,24,14254,26594
2019/08/12,1,13521,26776
2019/08/12,2,13042,26941
2019/08/12,3,12796,27043
2019/08/12,4,12918,27049
2019/08/12,5,13623,26850
2019/08/12,6,14596,26581
2019/08/12,7,15764,26505
2019/08/12,8,16570,26573
2019/08/12,9,16901,26003
2019/08/12,10,17467,25775
2019/08/12,11,17886,25900
2019/08/12,12,18410,25954
2019/08/12,13,19188,26171
2019/08/12,14,19726,26694
2019/08/12,15,19967,26666
2019/08/12,16,20125,26567
2019/08/12,17,20422,26612
2019/08/12,18,20403,26474
2019/08/12,19,20046,26344
2019/08/12,20,19842,26166
2019/08/12,21,19388,26191
2019/08/12,22,18142,26192
2019/08/12,23,16762,25982
2019/08/12,24,15551,25762
2019/08/13,1,14655,25594
2019/08/13,2,14067,25588
2019/08/13,3,13732,25517
2019/08/13,4,13717,25565
2019/08/13,5,14201,25560
2019/08/13,6,14976,25547
2019/08/13,7,16024,25463
2019/08/13,8,16921,25467
2019/08/13,9,17584,25481
2019/08/13,10,18049,25916
2019/08/13,11,18280,25581
2019/08/13,12,18762,25912
2019/08/13,13,19121,25895
2019/08/13,14,19845,25929
2019/08/13,15,20129,26205
2019/08/13,16,20564,26679
2019/08/13,17,21000,26807
2019/08/13,18,20791,26826
2019/08/13,19,20331,26568
2019/08/13,20,19872,26455
2019/08/13,21,19330,26503
2019/08/13,22,17824,26707
2019/08/13,23,16235,27127
2019/08/13,24,14847,27111
2019/08/14,1,13950,27286
2019/08/14,2,13461,27160
2019/08/14,3,13138,27174
2019/08/14,4,13109,27065
2019/08/14,5,13389,27119
2019/08/14,6,14163,27016
2019/08/14,7,15215,27075
2019/08/14,8,15922,26882
2019/08/14,9,16172,26639
2019/08/14,10,16793,26536
2019/08/14,11,17137,26561
2019/08/14,12,17386,26474
2019/08/14,13,17845,26494
2019/08/14,14,18181,26534
2019/08/14,15,18424,26620
2019/08/14,16,18917,26605
2019/08/14,17,19441,26707
2019/08/14,18,19476,26664
2019/08/14,19,19312,26649
2019/08/14,20,18858,26641
2019/08/14,21,18267,26581
2019/08/14,22,16872,26625
2019/08/14,23,15412,26750
2019/08/14,24,14164,26706
2019/08/15,1,13360,26537
2019/08/15,2,12980,26489
2019/08/15,3,12821,26611
2019/08/15,4,12742,26645
2019/08/15,5,12993,26696
2019/08/15,6,13701,26743
2019/08/15,7,14587,26709
2019/08/15,8,15345,26703
2019/08/15,9,15795,26560
2019/08/15,10,16394,26384
2019/08/15,11,16799,26413
2019/08/15,12,17019,26243
2019/08/15,13,17422,26214
2019/08/15,14,17312,26242
2019/08/15,15,17167,26254
2019/08/15,16,17425,26467
2019/08/15,17,17725,26436
2019/08/15,18,17884,26426
2019/08/15,19,17749,26315
2019/08/15,20,17736,26339
2019/08/15,21,17444,26330
2019/08/15,22,16255,26435
2019/08/15,23,15015,26406
2019/08/15,24,13996,26275
2019/08/16,1,13354,26280
2019/08/16,2,13040,26186
2019/08/16,3,12906,26063
2019/08/16,4,12904,25985
2019/08/16,5,13258,25954
2019/08/16,6,13843,26003
2019/08/16,7,14582,25986
2019/08/16,8,15401,26168
2019/08/16,9,15952,26085
2019/08/16,10,16419,26041
2019/08/16,11,16964,26055
2019/08/16,12,17355,26078
2019/08/16,13,17782,25935
2019/08/16,14,18113,26005
2019/08/16,15,18505,26159
2019/08/16,16,18927,26165
2019/08/16,17,19184,26023
2019/08/16,18,19161,25417
2019/08/16,19,18725,25322
2019/08/16,20,18472,25221
2019/08/16,21,18185,25216
2019/08/16,22,17078,25246
2019/08/16,23,15744,25267
2019/08/16,24,14600,25299
2019/08/17,1,13654,25404
2019/08/17,2,13071,25626
2019/08/17,3,12829,25715
2019/08/17,4,12592,25826
2019/08/17,5,12714,25878
2019/08/17,6,13009,26005
2019/08/17,7,13681,25810
2019/08/17,8,14733,25778
2019/08/17,9,15485,25691
2019/08/17,10,16107,25776
2019/08/17,11,16762,25758
2019/08/17,12,17184,25695
2019/08/17,13,17257,25839
2019/08/17,14,17589,26036
2019/08/17,15,17717,26065
2019/08/17,16,18100,25853
2019/08/17,17,18750,25579
2019/08/17,18,19114,25422
2019/08/17,19,18785,25119
2019/08/17,20,18129,25012
2019/08/17,21,17742,25077
2019/08/17,22,16752,25115
2019/08/17,23,15558,25125
2019/08/17,24,14571,25158
